"Story","Title","Result","Date","Stability","Duration (s)"
"Un cliente desea un prestamo de libre inversion para remodelar su vivienda","El cliente cuenta con un salario mayor o igual a un salario minimo","SUCCESS","2021-10-05T18:25:55.3858443-05:00[America/Bogota]","0.0","0.57"
"Un cliente desea un prestamo de libre inversion para remodelar su vivienda","El cliente cuenta con un salario menor a un salario minimo","SUCCESS","2021-10-05T18:25:55.9731983-05:00[America/Bogota]","0.0","0.04"
"Un cliente desea un prestamo de libre inversion para remodelar su vivienda","El cliente desea conocer cuanto le puede prestar el banco segun sus ingresos","SUCCESS","2021-10-05T18:25:56.0269613-05:00[America/Bogota]","0.0","0.02"
